classname,content
alt.atheism,"xref cantaloupe srv cs cmu edu alt atheism 53169 talk religion misc 83603 talk origins 40902 newsgroups alt atheism , talk religion misc , talk origins path cantaloupe srv cs cmu edu ! das news harvard edu ! noc near net ! howland reston ans net ! bogus sura net ! udel ! news intercon com ! psinntp ! dg rtp ! rambo atlanta dg com ! atlanta dg com ! wpr from wpr atlanta dg com \( bill rawlins \) subject re albert sabin sender usenet rambo atlanta dg com \( usenet administration \) message id 1993apr15 231515 19982 rambo atlanta dg com date thu , 15 apr 93 23 15 15 gmt references 1993mar16 200648 8005 rambo atlanta dg com c5ftjt 885 sunfish usd edu organization dgsid , atlanta , ga lines 80 in article c5ftjt 885 sunfish usd edu , rfox charlie usd edu \( rich fox , univ of south dakota \) writes in article 1993apr10 213547 17644 rambo atlanta dg com , wpr atlanta dg com \( bill rawlins \) writes earlier dialogue deleted perhaps you should read it and stop advancing the bible as evidence relating to questions of science it did jesus exist \? by g a wells there is a great fallacy in your statement the question of origins is based on more than science alone nope , no fallacy yep , science is best in determining how religions handle why and who the problem is that most scientists exclude the possibility of the supernatural in the question of origins is this is a fair premise \? i utterly reject the hypothesis that science is the highest form of truth if you met a man who could walk on water , raise people from the dead , claimed to be the son of god , and then referred to the inviolability of the scriptures , this would affect your belief in the origin of man \( i can expand on this \) nope , would n't affect my knowledge \( not belief \) of origins of anatomically modern humans if that man could show me something better , i 'd change , even if it was the biblical story in exact detail but then i would ask , why in the world did your father endow us with intellect and reason , and then proceed to fool us i mean , the bible says nothing about the human like creatures that we know exist some of these so called human like creatures were apes some were humans some were fancifully reconstructed from fragments i doubt any of us will meet a man like this but , bill , if your version of all this is absolutely correct , i'm still no worried about my salvation i 'll probaby make it \( i do n't steal , murder , covet , etc , and i like to help other people \) all i did was use the reason and intellect your god provided he or she benevolent and loving will understand my dilemma , do n't you think \? good deeds do not justify a person in god 's sight an atonement \( jesus \) is needed to atone for sin science and the bible are not in contradiction god can supercede the scientific laws as man understands them creation is a good example god has the power to create something out of nothing , order out of chaos have n't been on t o long , but i have a feeling , bill , that the veterans will agree with you here no contradiciton , and god can do anything at will so , what 's the beef \? \( or more properly , where 's \) my point god is the creator look 's like we agree if the title of the book you mentioned has anything to do with the substance of the book , it must be a real laugher of course jesus existed , and there are volumes of evidence to back it up i can give many if you are interested its not a laugher , bill its a scholarly book that many happen to disagree with i am definitely \( and seriously \) interested in confirmation i know of the bible , inferences therefrom \( e g , prophecies \) , apocrypha , the koran and others what i am interested is independent evidence do you have any \? i know of josephus , but this is almost certainly an insertion also i know of a few roman documents \( e g , pliny \) , but these deal only with early christians do you have any independent evidence \? i am most interested please email or post thanks , and best regards i 'll send you some info via e mail regards , bill bill rawlins wpr atlanta dg com i speak for myself only"
alt.atheism,"newsgroups alt atheism path cantaloupe srv cs cmu edu ! crabapple srv cs cmu edu ! fs7 ece cmu edu ! europa eng gtefsd com ! howland reston ans net ! zaphod mps ohio state edu ! swrinde ! network ucsd edu ! munnari oz au ! bruce cs monash edu au ! monu6 ! yoyo cc monash edu au ! darice from darice yoyo cc monash edu au \( fred rice \) subject re islam and scientific predictions \( was re genocide is caused by atheism \) message id 1993apr19 233043 22662 monu6 cc monash edu au sender news monu6 cc monash edu au \( usenet system \) organization monash university , melb , australia references 2944153560 2 p00261 psilink com cindy 93apr18124333 solan10 solan unit no date mon , 19 apr 1993 23 30 43 gmt lines 60 in cindy 93apr18124333 solan10 solan unit no cindy solan10 solan unit no \( cynthia kandolf \) writes various quotes deleted in the interest of saving a little bit of bandwidth , but i will copy the koran quote and it is he \( god almighty \) who created the night and the day , and the sun and the earth all \( the celetial bodies \) swim along , each in its rounded course \( holy quran 21 33 \) as it has been pointed out , this quote makes no claim about what orbits what the idea that something orbited something had been held as true for many years before the koran was written , so the fact that it says something orbits something is hardly surprising insight my concern is with the word rounded there are two interpretations of this word 1 it means in a circle this is wrong , although many believed it to be true at the time the koran was written in other words , it is not describing our neighborhood of the universe as it really exists , but as it was thought to be at the time this has implications which i hope are obvious to everyone 2 it means in a rounded shape , which could include elipses \( the geometrical form which most nearly describes the orbits of the planets \) this is also not a great insight look at the shapes you see in nature very few of them even approach a square or rectangle those are human created shapes everything in nature is rounded to some degree even the flat earthers do n't try to claim earth is a rectangle children who draw imaginary animals seldom give them rectangular bodies we seem to instinctively recognize that nature produces rounded shapes hence , the assumption that the orbits of the planets would be round hardly takes divine inspiration it is good to remember that every translation is to some extent an interpretation , so \( as you point out below \) one must really go back to the original arabic regarding the verses relevant to nature , i prefer to use dr maurice bucaille 's translations \( in his book , the bible , the qur'an and science \) for in general his translations are more literal maurice bucaille translates the portion of the verse you are addressing as each one is travelling with an orbit in its own motion \( also note that the celestial bodies in the first translation quoted by you above is the translator 's interpolation it is not existent in the original arabic , which is why it is included in brackets \) perhaps someone who can read the original arabic can eliminate one of these interpretations at any rate , neither one of them is exactly impressive you 're right , what the verses do contain is n't all that remarkable however , dr bucaille \( a surgeon , that 's how he 's a dr \) thinks it is significant that the above verse contains no geocentric ideas , even though geocentrism was all the rage up until the 17th century \( \? \) or so \( and this goes for the rest of the qur'an as well , which has about 750 verses or so regarding nature , i think i remember reading once \) fred rice darice yoyo cc monash edu au"
comp.graphics,"path cantaloupe srv cs cmu edu ! magnesium club cc cmu edu ! news sei cmu edu ! fs7 ece cmu edu ! europa eng gtefsd com ! howland reston ans net ! usc ! zyeh from zyeh caspian usc edu \( zhenghao yeh \) newsgroups comp graphics subject delaunay triangulation date 12 apr 1993 17 23 05 0700 organization university of southern california , los angeles , ca lines 9 sender zyeh caspian usc edu \( zhenghao yeh \) distribution world message id lsk1v9inn93c caspian usc edu nntp posting host caspian usc edu does anybody know what delaunay triangulation is \? is there any reference to it \? is it useful for creating 3 d objects \? if yes , what 's the advantage \? thanks in advance yeh usc"
comp.graphics,"xref cantaloupe srv cs cmu edu comp graphics 38532 comp sys amiga graphics 14073 comp graphics animation 3043 path cantaloupe srv cs cmu edu ! magnesium club cc cmu edu ! news sei cmu edu ! cis ohio state edu ! zaphod mps ohio state edu ! howland reston ans net ! bogus sura net ! jhunix hcf jhu edu ! jhunix hcf jhu edu ! not for mail from johnh jhunix hcf jhu edu \( john j humpal \) newsgroups comp graphics , comp sys amiga graphics , comp graphics animation subject re images of earth date 20 apr 1993 15 15 11 0400 organization homewood academic computing , johns hopkins university , baltimore , md , usa lines 14 message id 1r1i3vinnkoa jhunix hcf jhu edu references 1993apr19 144533 6779 cs ruu nl 1993apr19 193758 12091 unocal com 1993apr20 143434 5069 cs ruu nl nntp posting host jhunix hcf jhu edu in article 1993apr20 143434 5069 cs ruu nl clldomps cs ruu nl \( louis van dompselaar \) writes so they should sue the newspaper i got it from for printing it the article did n't say anything about copyrights the newspaper itself is almost certainly copyrighted in its entirety newspapers generally employ legal staffs which make sure they get permission to use a copyrighted image or text did you do the same \? john john j humpal johnh jhunix hcf jhu edu short sig , std disclaimer"
comp.graphics,"path cantaloupe srv cs cmu edu ! crabapple srv cs cmu edu ! fs7 ece cmu edu ! europa eng gtefsd com ! howland reston ans net ! zaphod mps ohio state edu ! uwm edu ! caen ! tdawson from tdawson llullaillaco engin umich edu \( chris herringshaw \) newsgroups comp graphics subject re sun ipx root window display background picture date 20 apr 1993 17 42 32 gmt organization university of michigan engineering , ann arbor lines 15 distribution world message id 1r1cm8innjcr srvr1 engin umich edu references 1993apr19 220817 22480 osi com nntp posting host llullaillaco engin umich edu keywords sun ipx background picture originator tdawson llullaillaco engin umich edu i'm not sure if you got the information you were looking for , so i 'll post it anyway for the general public to load an image on your root window add this line to the end of your xsession file xloadimage onroot fullscreen gif file name this is assuming of course you have the xloadimage client , and as for the switches , i think they pretty much explain what is going on if you leave out the , the terminal locks till you kill it \( you already knew that though \) hope this helps daemon"
alt.atheism,"path cantaloupe srv cs cmu edu ! crabapple srv cs cmu edu ! fs7 ece cmu edu ! europa eng gtefsd com ! howland reston ans net ! wupost ! uunet ! haven umd edu ! mimsy ! mangoe from mangoe cs umd edu \( charley wingate \) newsgroups alt atheism subject re gospel dating message id 66015 mimsy umd edu date 6 apr 93 10 48 01 gmt references kmr4 1406 733939189 po cwru edu sender news mimsy umd edu lines 48 so then , you require the same amount of evidence to believe that i a \) own a pair of bluejeans and b \) have superhuman powers \? well , i could use the argument that some here use about nature and claim that you cannot have superhuman powers because you are a human superhuman powers are beyond what a human has , and since you are a human , any powers you have are not beyond those of a human hence , you cannot have superhuman powers sound good to you \? anyway , to the evidence question it depends on the context in this group , since you are posting from a american college site , i'm willing to take it as given that you have a pair of blue jeans and , assuming there is some coherency in your position , i will take it as a given that you do not have superhuman powers arguments are evidence in themselves , in some respects when you say the existence of sic jesus , i assume that you mean just the man , without any special powers , etc yep many will agree that it is very possible that a man called jesus did in fact live in fact , i am willing to agree that there was some man named jesus i have no reason to believe that there was n't ever a man good however , most of the claims are extradinary eg virgin birth virgin in the sense of not having any sexual intercourse , resurection , son of god , etc those claims require extra evidence extra evidence \? why do n't we start with evidence at all \? i cannot see any evidence for the v b which the cynics in this group would ever accept as for the second , it is the foundation of the religion anyone who claims to have seen the risen jesus \( back in the 40 day period \) is a believer , and therefore is discounted by those in this group since these are all ancients anyway , one again to choose to dismiss the whole thing the third is as much a metaphysical relationship as anything else even those who agree to it have argued at length over what it means , so again i do n't see how evidence is possible i thus interpret the extraordinary claims claim as a statement that the speaker will not accept any evidence on the matter c wingate the peace of god , it is no peace , but strife closed in the sod mangoe cs umd edu yet , brothers , pray for but one thing tove ! mangoe the marv'lous peace of god"
comp.graphics,"newsgroups comp graphics path cantaloupe srv cs cmu edu ! rochester ! udel ! darwin sura net ! newsserver jvnc net ! newsserver technet sg ! nuscc ! engp2008 from engp2008 nusunix1 nus sg \( leong wai ming \) subject help animation for pcx , gif files message id 1993may16 132441 16843 nuscc nus sg sender usenet nuscc nus sg organization national university of singapore x newsreader tin version 1 1 pl9 date sun , 16 may 1993 13 24 41 gmt lines 15 hi , i 've a series of images in sun raster formats i 've converted them to pcx formats \( i can do the conversion to others like gif as well \) i would like to know of any software that is able to do animation for these formats , and to record the animation onto a video tape thank you leong , wai ming internet engp2008 nusunix nus sg national university of singapore bitnet engp2008 nusvm nus sg"
comp.graphics,"xref cantaloupe srv cs cmu edu comp graphics 38869 alt graphics pixutils 5386 path cantaloupe srv cs cmu edu ! magnesium club cc cmu edu ! pitt edu ! gatech ! destroyer ! cs ubc ca ! alberta ! kakwa ucs ualberta ca ! acs ucalgary ca ! powlesla from powlesla acs ucalgary ca \( jim powlesland \) newsgroups comp graphics , alt graphics pixutils subject re why does illustrator autotrace so poorly \? message id 93apr26 194830 32050 acs ucalgary ca date 26 apr 93 19 48 30 gmt references 0010580b vmcbrt diablo uucp mac 369 utkvx bitnet 1rgmnl cfr calvin nyu edu organization the university of calgary , alberta lines 12 nntp posting host acs6 acs ucalgary ca i 've had pretty good success autotracing line art with adobe streamline 2 0 the key to controlling excessive points , etc is to take some time and do some test conversions using various tolerance settings jim powlesland internet powlesla acs ucalgary ca academic computing services voice \( 403 \) 220 7937 university of calgary message \( 403 \) 220 6201 calgary , alberta canada t2n 1n4 fax \( 403 \) 282 9199"
comp.graphics,"xref cantaloupe srv cs cmu edu comp graphics 38407 comp graphics animation 3000 comp multimedia 6552 newsgroups comp graphics , comp graphics animation , comp multimedia path cantaloupe srv cs cmu edu ! das news harvard edu ! noc near net ! uunet ! nwnexus ! mscrap from mscrap halcyon com \( marta lyall \) subject re video in out message id 1993apr18 080719 4773 nwnexus wa com sender edm nwnexus wa com \( ed morin \) organization northwest nexus inc \( 206 \) 455 3505 references 628 toontown columbiasc ncr com date sun , 18 apr 1993 08 07 19 gmt lines 29 organization a world of information at your fingertips keywords in article 628 toontown columbiasc ncr com craig toontown columbiasc ncr com \( craig s williamson \) writes i'm getting ready to buy a multimedia workstation and would like a little advice i need a graphics card that will do video in and out under windows i was originally thinking of a targa but that does n't work under windows what cards should i be looking into \? thanks , craig to forgive is divine , to be craig williamson an airhead is human craig williamson columbiasc ncr com balki bartokomas craig toontown columbiasc ncr com \( home \) perfect strangers craig , you should still consider the targa i run windows 3 1 on it all the time at work and it works fine i think all you need is the right driver josh west email mscrap halcyon com"
comp.graphics,"xref cantaloupe srv cs cmu edu rec games programmer 11792 comp lang pascal 19409 comp graphics 38492 path cantaloupe srv cs cmu edu ! das news harvard edu ! noc near net ! howland reston ans net ! zaphod mps ohio state edu ! saimiri primate wisc edu ! caen ! batcomputer ! munnari oz au ! mel dit csiro au ! merlin ! bruce cs monash edu au ! monu6 ! vaxc cc monash edu au ! myless from myless vaxc cc monash edu au \( myles strous \) newsgroups rec games programmer , comp lang pascal , comp graphics subject j c jensen 's bitmap code message id 1993apr20 140233 91705 vaxc cc monash edu au date 20 apr 93 14 02 33 1000 organization computer centre , monash university , australia lines 18 greetings all according to a faq i read , on 30 july 1992 , joshua c jensen posted an article on bitmap manipulation \( specifically , scaling and perspective \) to the newsgroup rec games programmer \( article 7716 \) the article included source code in turbo pascal with inline assembly language i have been unable to find an archive for this newsgroup , or a current email address for joshua c jensen if anyone has the above details , or a copy of the code , could they please let me know many thanks yours gratefully , etc myles myles strous email myles strous lib monash edu au raytracing fan phone 61 51 226536 got the same urgent grasp of reality as a cardboard cut out proud to have him on the team archchancellor mustrum ridcully , in reaper man by terry pratchett"
